x,y,z1,z2,dif
-2.0,-1.0,2.545060064020748,2.634511894787062,-0.08945183076631391
4.0,2.0,-5.824802866192266,-5.825471416900285,6.685507080188557E-4
2.0,-4.0,40.72096102433197,40.72456232802838,-0.0036013036964064327
3.0,3.0,-8.855325404098378,-8.823199654582364,-0.032125749516014324
-1.0,4.0,60.51342131109088,60.63618607735458,-0.1227647662636997
0.0,-1.0,5.0,5.00967281745892,-0.009672817458920235
-3.0,3.0,60.62492007421198,60.819197301425014,-0.19427722721303553
-2.0,-3.0,-14.422007029450906,-14.455920033975415,0.03391300452450885
3.0,-3.0,36.10248049363185,36.10256425027956,-8.375664771165248E-5
-1.0,-1.0,2.8815914910043277,2.8850548006025085,-0.0034633095981808637
-4.0,1.0,27.667813614413266,27.705685379776448,-0.03787176536318171
1.0,4.0,18.25007944302741,18.295622669418883,-0.04554322639147301
-2.0,3.0,56.83967476313004,57.01127246246331,-0.17159769933326885
-1.0,-3.0,-6.723713479010097,-6.73738161161895,0.013668132608852801
1.0,3.0,12.486896461018754,12.52603666859486,-0.039140207576107144
2.0,1.0,2.545060064020748,2.560514067148297,-0.015454003127548965
0.0,-3.0,5.0,5.065933925129755,-0.06593392512975527
3.0,-2.0,25.20361845781846,25.2109928987531,-0.007374440934640347
-4.0,3.0,54.85022698997718,54.92635505921209,-0.07612806923491178
3.0,-1.0,15.667114176481746,15.67708636569356,-0.009972189211813642
3.0,1.0,0.6811788772383368,0.6856769321669415,-0.004498054928604667
-4.0,0.0,15.532807643179378,15.601870177388774,-0.06906253420939557
4.0,-3.0,35.43421743600295,35.44970458907938,-0.015487153076428228
-2.0,-4.0,-20.360480512165985,-20.392915233808715,0.03243472164272987
-4.0,-3.0,-15.047407404330023,-15.147702696966457,0.10029529263643333
138621087391
